"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
132,107.14,144.74,425.7,100,148.99,14.63,0,148.99,2.21
133,110,144.08,402.01,100,148.83,14.35,0,148.83,2.28
134,106.98,144.33,428.61,150,148.58,17.96,0,148.58,2.27
135,102.27,144.23,431.82,400,148.48,15.28,0,148.48,2.35
136,107.69,144.29,391.7,200,148.54,15.33,100,148.54,2.57
137,107.69,144.31,394.96,150,148.56,14.61,0,148.56,2.27
138,110.26,143.45,390.27,100,147.7,28.46,200,147.7,3.12
139,107.14,144.48,418.64,300,147.16,15.75,200,138.96,2.55
140,110.26,143.82,394.27,150,148.19,14.41,0,148.19,2.16
141,107.5,143.43,393.86,166.67,146.66,30.43,0,146.66,4.87
142,110.64,143.27,461.3,150,146.57,20.22,0,146.57,2.53
143,106.98,143.39,420.82,300,146,16.48,200,137.8,2.75
144,109.52,143.02,417.53,200,147.4,16.75,0,147.4,2.17
145,109.76,142.39,409.92,200,146.77,15.42,200,140.57,2.84
146,109.76,143.31,412.99,150,146.7,15.25,0,146.7,2.21
147,109.52,143.25,418.84,150,146.55,15.19,0,146.55,2.2
148,104.76,143.24,413.37,200,147.99,15.34,0,147.99,2.29
149,105,143.75,390.52,200,148,15.79,200,148,2.86
150,109.09,143.76,441.38,150,147.07,22.68,200,147.07,2.34
151,109.76,144.45,411.24,150,146.87,16.57,0,146.87,2.47
152,110,143.53,396.48,150,147.78,17.89,0,147.78,3.22
153,109.3,143.06,430.11,150,146.32,15.45,0,146.32,2.39
154,102.38,143.21,413.32,300,147.58,15,0,147.58,2.48
155,107.5,143.21,390.88,200,147.59,14.62,0,147.59,2.32
156,107.5,142.44,389.66,200,146.69,15.16,100,146.69,2.75
157,107.69,143.37,390.3,200,146.91,15.44,0,146.91,4.23
158,109.52,143.47,415.98,200,147.72,14.47,200,147.84,2.11
159,107.69,142.85,392.9,166.67,145.57,26.68,200,145.57,5.52
160,109.52,142.61,417.73,150,146.09,15.68,0,146.09,2.55
161,107.69,143.27,393.88,150,147.52,14.72,0,147.52,2.07
162,110.26,140.94,388.75,66.67,145.19,21.72,0,145.19,2.39
163,106.98,141.91,429.83,200,146.29,15.09,0,146.29,3.3
164,109.76,141.28,404.96,300,144,16.03,100,144,2.31
165,108.89,140.43,448.54,300,143.81,15.74,0,143.81,2.31
166,109.52,141.01,421.58,200,145.89,15.12,0,145.89,2.36
167,107.32,141.52,413.07,150,145.89,15.03,0,145.89,2.71
168,110,142.4,397.07,200,145.6,16.02,0,145.6,2.83
169,110,143.02,402.16,133.33,144.93,26.2,300,144.93,7.05
170,109.76,142.96,410.93,150,147.21,15.09,0,147.21,2.24
171,110.26,141.43,390.08,100,145.68,15.25,0,145.68,2.49
172,107.5,142.96,395.39,150,145.03,20.4,200,145.03,3.68
173,114.29,142.07,426.82,100,144.74,32.73,200,144.74,6.34
174,111.63,141.39,434.61,133.33,144.78,24.84,0,144.78,5.09
175,108.16,141.5,486.92,150,144.99,15,0,144.99,2.48
176,107.69,141.59,389.27,100,144.69,14.54,0,144.28,2.29
177,110,141.39,392.2,150,144.74,20.06,0,144.74,2.53
178,107.14,141.89,416.27,150,144.44,16.25,0,144.44,2.91
179,107.5,142.35,396.1,150,146.6,14.97,0,146.6,2.35
180,105,141.42,394,200,145.67,14.82,0,145.67,2.33
181,105,140.1,392.76,300,143.53,15.14,100,143.53,2.39
182,107.69,140.69,390.39,100,145.57,15.13,0,145.57,2.65
183,114.29,141.38,424.75,100,145.76,15.27,0,145.76,2.54
184,110.26,141.21,390.65,100,145.46,14.25,0,145.46,2.24
185,107.69,141.04,389.42,150,144.54,14.95,0,144.54,2.49
186,107.69,143.59,389.35,100,148.34,23.07,0,148.34,3.82
187,106.82,143.78,433.01,200,148.03,14.2,0,148.03,2.15
188,107.5,143.79,390.31,200,148.04,14.62,0,148.04,2.18
189,111.9,143.85,420.42,150,147.2,16.34,100,147.2,3.39
190,109.3,144.02,428.05,300,147.37,15.71,100,137.17,2.52
191,106.67,144.39,451.7,200,148.64,14.96,0,148.64,2.98
192,106.98,144.19,424.94,200,147.52,17.13,0,147.52,2.15
193,112.82,145.31,394.06,200,147.15,14.83,0,147.15,2.27
194,110,144.45,396.76,150,146.96,15.42,0,146.96,2.48
195,112.5,144.32,394.2,100,146.62,16.01,0,146.62,2.67
196,105,144.43,394.8,400,148.68,14.88,0,148.68,2.82
197,112.77,143.71,471.55,200,146.58,15.98,0,146.71,2.58
198,104.88,143.54,408.74,250,146.34,23.75,0,146.34,2.54
199,112.5,143.49,399.07,200,146.18,16.52,0,146.18,2.45
200,107.5,144.08,395.61,300,148.46,15.47,0,148.46,2.29
201,109.3,143.77,435.13,150,148.15,15,0,148.15,2.23
202,102.5,143.9,392.3,400,147.38,16.01,100,146.93,2.18
203,109.76,143.93,413.64,150,147.35,16.06,0,147.35,2.34
204,105.13,144.23,390.78,233.33,147.14,26.52,200,147.14,6.62
205,109.09,143.87,434.34,150,147.22,15.45,0,147.22,2.33
206,110.26,143.68,389.51,150,146.96,16.19,0,147.08,2.31
207,107.5,144.4,394.06,200,148.65,14.11,200,148.65,2.14
208,104.88,143.34,410.34,300,147.59,15.8,0,147.59,2.37
209,108.7,143.22,462.97,100,147.6,15.85,0,147.6,2.37
210,108.89,142.73,452.35,100,146.21,23.08,0,146.21,2.41
211,108.89,142.54,451.76,200,146.79,16.39,0,146.79,2.73
212,110.87,143.06,459.24,150,145.66,17.12,200,139.47,2.65
213,108.7,142.95,458.15,200,145.21,16.94,300,144.77,3.27
214,106.38,142.93,467.2,150,145.5,17,0,145.5,3.72
215,112.77,142.98,469.39,150,145.64,32.28,300,145.64,6.84
216,113.33,143.76,455.2,200,148.01,16.4,0,148.01,2.56
217,106.67,143.02,447.46,150,147.4,15.65,0,147.4,2.44
218,106.67,143.48,448.67,150,148.23,16.56,0,148.23,3.37
219,106.38,143.93,466.39,200,147.24,17.26,0,146.79,2.82
220,104.35,144.07,456.9,150,148.32,17.57,0,148.32,4.76
221,106.12,143.92,484.35,100,147.27,24.65,0,147.27,2.66
222,108.89,144.66,453.7,150,148.91,15.78,200,148.63,2.38
223,108.89,143.95,453.36,200,146.14,16.52,0,146.14,2.52
224,104.44,143.06,449.37,150,147.81,17.78,100,147.81,3.49
225,108.7,143.16,465.79,200,146.74,16.41,200,146.74,4.18
226,108.51,144.19,472.39,100,146.83,15.53,0,146.83,2.58
227,110.2,143.79,492.67,100,146.6,20.85,0,146.6,2.58
228,108.51,144.5,468.98,150,147.04,16.68,0,129.01,2.79
229,108.89,145.23,449.22,150,148.41,16.94,100,147.96,2.54
230,106.67,145.27,449.32,200,149.52,16.55,200,149.52,2.32
231,104.55,145.36,447.14,150,150.11,15.53,0,150.11,2.37
232,106.52,146.11,451.37,200,149.51,24.58,0,149.51,2.43
233,113.04,146.3,456.48,150,149.19,17.63,200,149.19,4.04
234,113.04,145.59,466.48,100,149.84,37.54,300,149.96,6.49
235,106.52,144.89,453.6,150,148.25,17.44,0,132.05,2.67
236,106.52,146.4,455.52,300,148.94,17.49,200,148.94,2.6
237,108.51,146.62,469.45,150,150.87,16.93,0,150.63,3.44
238,108.7,146,454,150,148.33,16.89,0,148.33,3.21
239,108.16,145.17,490.06,150,147.46,15.43,100,147.46,2.5
240,108.89,144.4,451.35,200,146.84,21.83,200,146.96,4.32
241,108.7,144.39,457.47,166.67,147.85,31.53,300,147.85,6.55
242,113.04,145.63,460.48,150,147.85,16.41,0,147.4,2.79
243,106.52,145.39,449.52,100,147.79,23.92,0,147.79,2.77
244,110.87,145.25,456.01,150,147.8,17.59,100,147.35,2.62
245,109.09,146.08,448.56,125,149.43,36.22,200,149.43,5.88
246,115.22,146.12,456.55,300,150.49,15.57,0,150.49,2.44
247,106.82,145.62,442.78,200,148.56,18.9,0,148.56,2.47
248,106.67,146.09,450.76,150,148.07,16.62,200,148.07,3.27
249,104.44,145.25,448.65,400,148.6,16.21,100,130.44,3.23
250,111.11,145.54,454.95,150,148.19,16.97,100,148.19,2.55
251,111.11,145.22,455.63,200,147.95,16.88,0,147.95,2.55
252,106.67,145.01,447.37,100,149.51,16.36,0,149.51,2.45
253,106.52,144.36,453.05,300,147.83,16.1,100,147.83,2.49
