"run","proverSetUpCPU","proverSetUpMemory","proverSetUpTime","verifierCPU","verifierMemory","verifierTime","proverDecryptCPU","proverDecryptMemory","proverDecryptTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
353,190.63,1330.04,2598.87,210.24,1130.65,159467.84,104.95,1110.96,251.72,141.5,1110.96,1.02
354,192.36,1327.68,2627.33,210.17,1136.92,159504.46,105.21,1111.29,252.11,165.4,1111.29,1.09
355,192.4,1330.16,2615.49,211.69,1135.53,155215.19,105.46,1111.03,246.04,145.9,1111.03,1.04
356,191.35,1329.57,2619.67,211.99,1111.26,156482.62,106.02,1111.1,250.95,262.8,1111.1,0.96
357,192.21,1327.59,2623.82,208.34,1135.37,164525.06,104.89,1110.83,246.2,294.4,1110.83,1.01
358,190.23,1327.66,2625.93,208.83,1131.3,161651.16,104.93,1110.97,248.13,286.6,1110.97,0.97
359,181.59,1329.89,2616.99,212.65,1127.47,152114.79,114.52,1127.47,246.24,265.25,1110.9,0.99
360,185.24,1329.84,2615.42,206.44,1123.91,169085.61,105.05,1115.68,247.41,151.7,1115.68,0.97
361,191.13,1343.64,2622.75,211.87,1127.23,155712.01,105.03,1111.05,243.65,239.9,1111.18,0.85
362,180.32,1329.89,2596.33,208.35,1130.88,172978.02,104.74,1111.21,252.72,153.55,1111.21,1.08
363,193.54,1329.84,2684.19,213.36,1135.91,167560.09,110.51,1136.04,261.3,224.75,1111.24,0.95
364,186.92,1327.85,2787.43,213.19,1125.98,160933.49,104.59,1111.25,254.58,152.35,1111.25,1.02
365,193.41,1330.02,2676.57,211.44,1119.84,161240.91,103.76,1119.84,278.3,142.35,1119.84,0.99
366,191.96,1343.18,2729.65,210.95,1123.21,169572.86,104.32,1111.11,252.88,290.5,1111.11,1.08
367,182.06,1324.56,2540.06,215.12,1115.32,156369.82,104.26,1115.32,243.5,286.9,1115.32,1.05
368,182.9,1329.85,2552.67,212.46,1131.69,172986,116.54,1124.56,281.54,194.25,1111.14,0.96
369,190.84,1330.08,2832.96,213.95,1119.57,174472.27,104.08,1119.57,275.61,155.65,1119.57,1.14
370,191.65,1330.04,2834.86,211.65,1123.51,162092.2,104.14,1123.51,249.91,289.4,1123.51,1
371,190.32,1336.09,2645.77,210.84,1140.04,172998.59,115.89,1140.04,294.77,202.55,1119.46,1.07
372,195.19,1329.67,2916.94,212.9,1127.93,177827.98,101.22,1110.96,245.94,159.45,1110.96,1.05
373,178.9,1329.84,2622.1,212.94,1119.4,168296.68,103.8,1119.4,254.84,297,1119.4,1.16
