"run","generateZKPCPU","generateZKPMemory","generateZKPDuration","verifyZKPCPU","verifyZKPMemory","verifyZKPDuration"
1,168,165.51,741.42,179.31,168.75,274.54
2,126.56,179.59,631.81,166.67,177.66,267.99
3,122.22,179.55,624.74,153.85,177.64,252.43
4,135.48,192.14,612.36,160,190.38,247.08
5,126.23,192.38,602.15,160,190.56,247.95
6,121.31,192.44,602.53,160,190.6,251.07
7,127.87,192.83,606.83,153.85,191.18,247.8
8,122.95,193.19,602.58,156,191.38,248.93
