"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
302,152.47,1712.25,3846.21,232.18,1731.9,1739.2,0,1731.9,2.19
303,154.43,1712,3844.01,233.53,1732.13,1723.22,0,1732.13,1.97
304,157.47,1712.22,3877.96,230.46,1732.06,1741.69,0,1732.06,2.03
305,154.15,1712.07,3852.41,236.05,1731.9,1726.93,0,1731.9,2
306,153.73,1712.11,3890.83,237.65,1732.23,1700.24,0,1732.23,2.02
307,154.38,1712.52,3876.1,236,1732.11,1748.51,0,1732.11,2
308,154.38,1712.22,3878.83,233.14,1732.04,1719.93,0,1732.04,1.96
309,152.85,1712.23,3855.01,234.3,1732,1722.8,0,1732,2
310,153.73,1712.52,3884.88,232.56,1732.14,1723.11,0,1732.14,1.98
311,154.9,1712.34,3882.44,235.06,1732.25,1740.61,0,1732.25,1.98
312,153.93,1712.23,3818.38,234.71,1731.88,1698.44,100,1731.88,1.98
313,154.71,1711.98,3822.15,232.35,1731.84,1698.52,0,1731.84,2.01
314,156.92,1712.2,3894.13,235.09,1731.98,1709.65,0,1731.98,2.4
315,155.5,1712.21,3905.99,233.33,1731.82,1743.55,0,1731.82,1.96
316,154.24,1712.02,3882.15,235.67,1731.73,1711.06,0,1731.73,2.01
317,152.99,1712.13,3847.23,231.95,1732.07,1691.86,0,1732.07,3.1
318,157.18,1712.35,3896.79,231.21,1732.04,1721.95,0,1732.04,2
319,156.01,1712.18,3905.67,233.14,1732.04,1727.71,0,1732.04,1.98
320,153.87,1712.21,3882.41,232.95,1731.93,1728.47,0,1731.93,1.97
321,152.44,1712.28,3889.16,232.18,1732.16,1738.34,0,1732.16,1.97
322,153.89,1712.25,3854.23,235.29,1732.01,1701.06,0,1732.01,1.99
323,154.05,1712.29,3829.67,230.99,1732.06,1702.49,0,1732.06,1.96
324,158.35,1712.43,3885.71,233.33,1732.13,1717.87,0,1732.13,2.03
325,154.36,1712.28,3904.45,233.92,1732.07,1707.21,0,1732.07,2.73
326,152.84,1712.2,3870.25,234.12,1732.06,1705.1,0,1732.06,1.93
327,153.37,1712.15,3854.75,231.98,1732.03,1719.68,0,1732.03,1.98
328,154.78,1712.34,3862.67,240.12,1732.11,1720.1,0,1732.11,2.05
329,153.47,1712.1,3888.51,237.43,1732.3,1710.69,0,1732.3,1.94
330,151.15,1712.37,3908.65,234.12,1731.91,1695.95,0,1731.91,2.07
331,152.71,1712.09,3862.87,236.31,1731.77,1683.55,0,1731.77,2.02
332,154.9,1712.15,3878.41,230.23,1732.05,1713.55,0,1732.05,2
333,153.51,1712.14,3848.43,235.09,1732.14,1707.39,0,1732.14,1.97
334,155.7,1712.29,3861.41,234.68,1732.09,1727.2,0,1732.09,2.04
335,154.5,1712.22,3887.63,235.29,1732.05,1694.58,0,1732.05,1.97
336,154.03,1712.45,3853.92,231.03,1732.08,1734.11,0,1732.08,2.97
337,155.76,1712.2,3819.42,230.81,1731.82,1716.58,0,1731.82,2
338,152.71,1712.02,3869.68,231.79,1732,1722.9,0,1732,2.02
339,154.43,1712.16,3835.69,235.29,1731.89,1701.85,0,1731.89,2.52
340,158.72,1712.48,3891.54,231.58,1731.96,1715.91,0,1731.96,1.99
341,153.65,1712.25,3844.46,231.58,1731.79,1711.1,100,1731.79,1.99
342,157.22,1712.2,3881.57,231.4,1732.04,1716.32,0,1732.04,1.98
343,154.15,1712.18,3859.17,234.71,1732.25,1705.63,200,1732.25,2.07
344,156.48,1712.43,3862.46,230.59,1731.75,1701.6,100,1731.75,2.05
345,155.67,1712.28,3884.06,232.75,1732.22,1706.08,0,1732.22,2.06
346,154.26,1712.39,3867.06,231.21,1732.04,1734.15,0,1732.04,2.04
347,156.36,1712.32,3854.77,234.71,1732.33,1701.16,100,1732.33,2.01
348,155.9,1712.38,3899.36,234.3,1731.99,1725.96,100,1731.99,1.99
349,156.01,1712.25,3918.49,232.76,1732.04,1735.36,0,1732.04,2.05
350,153.09,1712.13,3871.27,237.65,1731.97,1700.11,0,1731.97,2.02
351,153.11,1712.28,3862.63,235.09,1732.13,1708.91,0,1732.13,1.97
352,153.77,1712.31,3849.79,232.94,1732.24,1707.39,0,1732.24,2.04
353,155.5,1712.41,3915.41,232.16,1732.27,1708.13,0,1732.27,1.98
354,153.18,1712.37,3919.95,234.68,1732.33,1732.95,0,1732.33,2.47
355,170.92,1712.34,3914.48,234.32,1732.35,1689.99,0,1732.35,1.96
356,155.44,1712.41,3858.81,234.5,1732.27,1707.41,0,1732.27,2.01
357,154.22,1712.35,3907.82,232.94,1732.11,1697.25,0,1732.11,1.99
358,152.7,1712.15,3889.23,231.4,1732.09,1719.47,0,1732.09,2
359,154.38,1712.38,3874.85,231.21,1731.93,1731.68,100,1731.93,1.98
360,153.26,1712.29,3833.59,237.28,1732.27,1690.53,0,1732.27,2.02
361,152.58,1712.3,3874.12,230.29,1732.04,1744.94,0,1732.04,2.12
362,154.95,1712.54,3840.38,236.26,1732.21,1714.49,0,1732.21,2
363,154.01,1712.32,3874.81,231.21,1732.23,1729.27,100,1732.23,2.01
364,152.85,1712.36,3859.43,230.23,1732.37,1720.08,0,1732.37,2.01
365,153.65,1712.57,3835.18,229.48,1732.5,1736.26,0,1732.5,2.03
366,154.05,1712.37,3832.62,236.84,1732.04,1713.54,200,1732.04,2
367,153.98,1712.53,4025.12,232.02,1732,1777.23,0,1732,2.65
368,169.65,1712.34,4018.66,244.81,1732.19,1822.07,0,1732.19,2.76
369,171.36,1712.51,3976.47,232.16,1732.24,1717.2,100,1732.24,3.52
370,169.31,1712.45,3912.7,235.88,1732.24,1696.08,0,1732.24,1.99
371,152.28,1712.27,3933.06,236.78,1732.27,1739.5,0,1732.27,2.63
372,169.11,1712.26,3948.24,236.82,1732.18,2012.36,100,1732.18,2.86
373,168.45,1712.2,4308.64,236.84,1732.48,1901.84,0,1732.48,2.84
374,172.29,1712.5,3970.9,228.57,1731.94,1742.41,0,1731.94,2.04
375,152.17,1712.1,4366.2,251.67,1732.36,1800.72,0,1732.36,2.61
376,168.07,1712.52,4039.99,241.81,1732.36,1767.05,0,1732.36,2.79
377,167.72,1712.64,4114.76,248.92,1732.51,1858.29,0,1732.51,2.81
378,166.13,1712.76,4365.72,243.32,1732.03,1869.39,0,1732.03,2.93
379,168.86,1712.3,4100.38,239.25,1732.16,1863.27,0,1732.16,2.68
380,165.77,1712.26,4085.13,250.27,1732.26,1826.32,0,1732.26,3.13
381,171.32,1712.29,4076.54,236.78,1732.3,1737.93,0,1732.3,2.49
382,168.84,1712.34,3980.37,240.91,1732.02,1757.87,0,1732.02,2.62
383,169.85,1712.05,3974.54,237.65,1732.23,1697.71,0,1732.23,2.83
384,152.23,1712.39,4036.53,244.44,1732.43,1806.28,100,1732.43,2.75
385,168.08,1712.54,4014.6,235.43,1732.3,1745.02,0,1732.3,2.86
386,165.23,1712.36,4164.7,242.46,1731.97,1789.42,0,1731.97,2.77
387,170.27,1712.21,4067.95,227.68,1732.01,1763.36,0,1732.01,2.19
388,166.84,1712.25,3917.01,233.14,1732.09,1727.28,0,1732.09,2.92
389,154.01,1712.3,3873.84,233.33,1732.14,1709.57,0,1732.14,1.96
390,156.41,1712.36,3897.86,236.67,1732.12,1801.18,0,1732.12,3
391,170.57,1712.08,4010.8,233.9,1732.09,1766.19,0,1732.09,2.63
392,167.91,1712.34,4018.99,232.39,1732.15,1756.32,0,1732.15,2
393,153.59,1712.33,3894.7,234.88,1732.19,1718.15,0,1732.19,2
394,153.13,1712.51,3839.67,236.26,1732.34,1704.3,0,1732.34,1.97
395,153.87,1712.43,3884.83,233.52,1732.06,1784.26,0,1732.06,2.64
396,168.86,1712.34,4110.59,242.13,1732.4,1771.26,0,1732.4,2.86
397,171.03,1712.48,3964.6,233.92,1732.14,1713.22,0,1732.14,1.96
398,155.92,1712.63,3972.12,243.3,1732.11,1935.39,0,1732.11,3.86
399,169.83,1712.34,4011.17,233.53,1732.14,1729.97,0,1732.14,2
400,154.8,1712.19,3954.81,230.11,1732.38,1761.2,0,1732.38,2.02
